,text,hate
0,ইন্দুর তোই মরছ নাই,1
1,মুরগি চোরের পাছায় ডুকবি আর মারবি,1
2,মীর জাফরের মুখে মুতে দে,1
3,অই জারছি পরা লোক টা কে পাইলে কোত্তার মতো পিটাইতাম,1
4,অকে পিথিবির আলো দেখানোর আগেই মেরে ফেলা দরকার ছিল,1
5,অকে মেরে ফেলতে হবে,1
6,অগরে চুদে মেয়ে গূলোকে,1
7,অদের কে জুতা দিয়ে পিঢাও না কেনো,1
8,অপু উকিল এর পুটকির মধ্যে কেরোসিন ঢেলে দেওয়া উচিত,1
9,অপু উকিল কে আমি পুটকি মারতে ছাই,1
10,অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী,1
11,অপু উকিলের শাউয়াদিয়া মানকছুদেওয়া হোক,1
12,অপু একটি মিথ্যাচার করছে ওকে জুতা পেটা করা উচিত,1
13,অপু কলকাতা গিয়ে চুদা খা,1
14,অপু কে জুতা মার,1
15,অপু কে পেলে জুতা পেটা করা উচিত,1
16,অপু খারাব জুতা মারি,1
17,অপু চুদা খাভে,1
18,অপু তোকে আমি চুদি,1
19,অপু তোর মুকে মুতি,1
20,অপু মরলে আরো খুশি আমরা,1
21,অপুকে মদ খায়ানু হক,1
22,অপুরে জুতা মারা লাকবে এখন অপু বক্ত কেউ থাকবেনা,1
23,অমিত শাহ্ দুই গালে জোতা মারো তালে তালে,1
24,অমিত সাহ কে বাঁশ দেও,1
25,অর ছেলে একদিন অকেই মারবে,1
26,অর দুই হাত কেটে ফেলা হোক,1
27,অর নুনুটা কেটে ফেল,1
28,অর বাঁচার অধিকার নাই,1
29,অর বুদার মধ্যে কারেন্ট দিলে সব এমনিই বলে দিবে,1
30,অর যাওয়ার দরকার নাই সবাই মিলে চুদে পুশে দেবো,1
31,অর সোনা কেটে নেয়া হউক,1
32,অর হাত কাটা উচিত,1
33,অর হাত দুটি কেটে ফেলা হোক,1
34,অরে জুতার মালা পরান উচিতসালা বেদ্দপ,1
35,অরে ডায়রেক ক্রসফায়ার দেওক দিয়া,1
36,অরে পাইলে আমি শেষ করে ফেলতাম যা হবার হইতো,1
37,অরে মদ খাওয়া তারাতারি,1
38,অরে মাইরালা,1
39,অরে মেরে ফেলা উচিত,1
40,অরে রড দিয়া মাইরা হাত ভেঙে দেয়া উচিত,1
41,অরে সামনে পাইলে খুন করুম,1
42,অরে হোগা দিয়ে গরম ডিম দেয়ার দরকার,1
43,অসভ্য মদি সরকারকে কঠিন ভাবে সাইজ করা দরকার,1
44,অামি অাইনের লোক হইলে ওরে গুলি করে মেরে ফেলতাম,1
45,আই তোকে চুদি তোর গূদের,1
46,আই তোরে চুদি,1
47,আই সি সি মুখে জুতা মার,1
48,আগুন জ্বালিয়ে দিব,1
49,আগুন দিয়ে পুড়িয়ে মারা হোক,1
50,আগে ওকে পেটান দরকারছিল,1
51,আগে ওরে মারেন পরে বিচার করা যাবে,1
52,আগে জুতা মার,1
53,আগে ধোলাই দিতেন,1
54,আপনারা সত্যি খবর দিবেন না হলে গালি খাবেন,1
55,আপনি এহনো মরছেন্না,1
56,আপু আপনার ভাই পাইলো আগে গুয়া মারবো,1
57,আপু ওকিল তোরে চদে হবে,1
58,আপ্নেরে চুতিয়ার ভাবতাম এখন সাউয়া মনে হয়,1
59,আববাসিরে জুতা পিটা কর,1
60,আবার জুতা পিটা করা হবে,1
61,আমরাই যথেষ্ট পাপী আর তুই মরলে যে কি হবে,1
62,আমার কাছে চোদা দিবা,1
63,আমার ক্ষমতা তাকলে ফাশি দিতাম,1
64,আমার তো মন চাইছে ওকে জবাই করে পেলি,1
65,আমার দনটাত ইনচি পারবেনি চুদা লইতে,1
66,আমার বৌ আমাকে দিনে একবার চোদা দেয়,1
67,আমার মনে হয় তাহেরী তুকে প্রথম চুদেছে,1
68,আমার লিঙো মোটা তাই মোটা মেয়েকে কীভাবে চুদবো,1
69,আমার সোনা দশ ইনতি করবো তরে চোদার জন্যে দিবি কি,1
70,আমার হেডার খবর দেও তোর মারে চুদি,1
71,আমারে একটু বেশি চুদবার দিবেন,1
72,আমি আপনারে চুদবো,1
73,আমি আমির হামজা কে চুদি মু,1
74,আমি ওকে খুন করতে চাই,1
75,আমি ছেলে চোদা চুদি কোরবো গুদ,1
76,আমি তো মারবো সামনে পেলে,1
77,আমি তোমাকে চুদোব টাকা দিবো,1
78,আমি তোমার পাছা চাটবো,1
79,আমি তোমার মধু খেতে চাই,1
80,আমি তোমার সাথে রাত থাকতে চাই,1
81,আমি তোর বউরে চুধি,1
82,আমি তোর বোনেরে খেলছি আর তোর মারে খেলছি,1
83,আমি তোর মায়েরে চুদি,1
84,আমি তোরে খেলামু,1
85,আমি তোরে চোদতে পছনধ্য করি,1
86,আমি তোরে চোদার পক্কে,1
87,আমি তোরে পইলেঘোরা দিয়া গুয়া মারাইতাম,1
88,আমি থাকলে ওর গাড়ে পা দিতাম,1
89,আমি নায়িকা গুলি কে চুদ্বো,1
90,আমি নোবেলের মাকে চুদি,1
91,আমি মদ খাব আর সেফুদার বউকে চুদব,1
92,আমি মুদির মাকে চুদার পক্খে,1
93,আমি মোদি কে পাইলে হত্তা করিতাম,1
94,আমি যদি ওরে পাইতাম তাহলো আমি ওর শরিল চাটটাম,1
95,আমি যদি সে খানে থাকতাম তোরে জুতা মারতাম,1
96,আমি যদিওরে কোনো দিন দেখি কোবামু,1
97,আমি সমানে থাকলে এক চর মারতাম,1
98,আমি সাকিব কে পুটকি মারতে চাই,1
99,আমি সানিতাকে চুদবো,1
100,আমি সামনে পেলে ওর যৌনাঙ্গ কেটে দিতাম,1
101,আমি হলে খানকির ছেলের হাত কেটে ফেলে দিতাম,1
102,আমি হলে জুতা মারতাম সব কয়টাকে,1
103,আমি হলে তো জারসি পড়া লোকটাকে চুদে দিতাম,1
104,আমিলীগের মারে চুদি,1
105,আর ইসলাম নিয়ে কথা বল্লে তরে কুত্তা দিয়ে চু,1
106,আর তোর পুকটি চুদবো,1
107,আরে ওরে আগুনে পুড়ে মারার দরকার,1
108,আরো মরিচ লাগানো দরকার ছিল ওগোরে,1
109,আলীরাজের বউটাকে ল্যাংটা করে বাশ দেয়া দরকার ছিল,1
110,আল্লাহ এই ছেলের উপর গজব নাজিল করে,1
111,আল্লাহ এই টার হাতটা নষ্ট করে দাও,1
112,আল্লাহ এদের ধংশ করো নয়তো হেদায়ত করো,1
113,আল্লাহ ওদের হেদায়েত দান করুন বা গজব দিন,1
114,আল্লাহ গজপ পরবে ওর ওপরে,1
115,আল্লাহ গজব দাও,1
116,আল্লাহ গজব পরক,1
117,আল্লাহ জে জন রায় দিয়েছে তাদের উপর গজব নাজিল কর,1
118,আল্লাহ তালা তার ওপর ঠাটা ফালানো হক,1
119,আল্লাহ তুমি ওদের মুখে গজব ফালাও,1
120,আল্লাহ তোকে যিবনেও মাপ করবেনা,1
121,আল্লাহ তোদের টা বাঁশ একসাথে দিবে,1
122,আল্লাহ তোমার গজব এইদুনিয়াই দেখাও,1
123,আল্লাহ তোর প্রতি ঠাডা ফালাইবো,1
124,আল্লাহ বাংলাদেশে ঠাটা ফেলাও আমিন,1
125,আল্লাহর কসম অরে সামনে পেলে জুতার বারি দিবো,1
126,আল্লাহর গজব তার উপরে আসবে,1
127,আল্লাহর গজব নাযিল হোক,1
128,আল্লাহর গজব পরবে,1
129,আল্লাহর গজব পর্বে ওর উপর,1
130,আল্লাহর লানত পরুক এর উপর,1
131,আল্লাহর লানত মিতিলার উপর,1
132,আল্লাহ্‌ তুমি ওরে আগুনে জালাও,1
133,আল্লাহ্‌ তুর উপর গজব দিবয়,1
134,আল্লাহ্‌ হেদায়েত দান করুন না হয় গজব নাযিল করুণ,1
135,আসলে এই পিটিয়ে মারা উচিত,1
136,আহারে হতভাগা সন্তান তোর উপর আল্লাহর গজব পড়ুক,1
137,আামি অপুকে চুদতে চাই,1
138,ইট মারলে পাটকেল মারো,1
139,ইমরানখান এর গুষ্টির গুদ মারবে মোদীসরকার,1
140,ইস তরে যদি সামনে পাইতাম,1
141,ইসলাম নিয়ে কিছু বলবিনা জিহবা কেটে দিবো,1
142,ইসলামকে ধংস করার জন্য তাকে আগুনে জলসে দেওয়া উচিত,1
143,ইহুদিদের দালাল তোরে জুতা দিয়ে শুভেচ্ছা,1
144,উনি কোন বক্তা নাকি তারে জুতা দিয়া পিডা,1
145,কিরকম ছেলে কে শূলে চরানো হোক,1
146,ধরনের ছেলের হাত কেটে নেওয়া উচিত,1
147,বাংলাদেশে থাকলে সবাই গনধোলাই দিতো,1
148,রকম ছেলে কে মেরে ফেলা দরকার,1
149,সন্তান জাহান্নামী নিস্চিত,1
150,এই আইডির ওয়াবিদের জুতা দিয়া পেটানো উচিত,1
151,এই আপু একটু চুদা দিবা,1
152,এই ইদু বিটির কপালের সিঁদুরি আমি পেসাব করি,1
153,এই উপস্থাপিকাকে নাস্তিক দিয়া চুদা দরকার,1
154,এই খানকির আমি কুত্তা দিয়া চোদাই,1
155,এই চারটাকে আমার কাছে দিন মেরে ফেলব,1
156,এই ছেলে কে কেটে নদিতে ভাসিয়ে দাও,1
157,এই ছেলে কে জুতা দেই পিটায়,1
158,এই ছেলেকে মোটা লাথি দিয়ে পেটানোর দরকার,1
159,এই ছেলেকে জুতা মার সবাই,1
160,এই ছেলেকে জেলে ঢুকিয়ে দাও আর ধরে মারো,1
161,এই ছেলেকে জ্যান্ত পুড়িয়ে ফেলার দরকার,1
162,এই ছেলেকে ধরে পুঁতে দেওয়া উচিত,1
163,এই ছেলেকে পিটিয়ে মেরে ফেলা উচিতখুব কষ্ট লাগলো,1
164,এই ছেলেটা জুতা মারা দরকার,1
165,এই ছেলেটাকে একদম গুলি করে মেরে ফেল,1
166,এই ছেলেটাকে পাইলে কুচি কুচি করতাম,1
167,এই ছেলেটাকে পিটিয়ে পিটিয়ে মেরে ফেলা উচিৎ,1
168,এই ছেলেটার হাত কেটে দেওয়া উছিত,1
169,এই ছেলেদের পিটিয়ে মেরে ফেলা উচিত,1
170,এই ছেলের আল্লাহর গজব নাযিল হোক,1
171,এই ছেলের বাচার আধিকার নেই,1
172,এই ছেলের বেচে থাকার কোনো অধিকার নেই,1
173,এই ছেলের হাত দুইটা কেটে দেয়া হওক,1
174,এই ছেলের হাত যেন আল্লাহ জিবনের মত অবস করে দেই,1
175,এই জালেম দেরকে জিবিত পুরিয়ে মারার দরকার,1
176,এই জেলা প্রশাসক এর নুনু গোড়া কেটে দেওয়া হোক,1
177,এই তোর মারে চোদি,1
178,এই দরনের ছেলেকে গলা টিপে মেরে ফেলা উচিত,1
179,এই‌ ধরনের লোকদের হাত সবার সামনে কেটে ফেলা উচিত,1
180,এই ধরনের সন্তান কে মেরে ফেলা উচিত,1
181,এই পুলিশ এর টিকানা চাই জুতা নিজ হাতে মারতে চাই,1
182,এই বন্ড দেওয়ান বাগিকে জোতা মাৰা হোক,1
183,এই বাচ্চা হুজুরে মা রে আমি চুদি মাদার,1
184,এই বাবার জুতা দিয়েই বাবার দিয়েই পিটানো উচিত ছিল,1
185,এই বিচারক দের কে জুতা পিঠা করলে জুতার অপমান হবে,1
186,এই বিচারক দের জুতা পিটা করার উচিত,1
187,এই বুকি রে চুদি,1
188,এই বৃদ্ধ বাবার কাছে আমি হলে ছেলেকে মেরেই ফেলতাম,1
189,এই বেটাকে জীবিত অবস্থায় জ্বালিয়ে মারা হোক,1
190,এই ভাবে বোদা পাইতা দিলে সবাই করবে,1
191,এই ভিডিওটা বানানো জন্য তোর বউরে চুদি,1
192,এই মহিলাকে জুতা পিটা করা দরকার,1
193,এই মহিলাকে বাস দেৱা হক,1
194,এই মহিলারে গাছে ঝুলাইয়া আগুন দেয়া হোক,1
195,এই মাইয়াডারে কার কার লাগাইতে মন চায়,1
196,এই মেয়েকে জুতা পিটা করে দেশ থেকে বাহির করা দরকার,1
197,এই মেয়েকে জুতা মার,1
198,এই মেয়েকে থাপ্পর মেরে বের করে দিন,1
199,এই রকম ছেলে আর ছেলের বউকে জুতা পেটানো দরকার,1
200,এই রকম ছেলে কে জোতা দিয়ে পিঠা দরকার,1
201,এই রকম ছেলে কে পিটিয়ে মারা উচিৎ,1
202,এই রকম ছেলে কে পুঁতে দাও,1
203,এই রকম ছেলে কে মেরে ফেলা উচিত,1
204,এই রকম ছেলে কে রাস্তায় ফেলে মারা দরকার,1
